BW_category	BIRTH_YEAR	Births
BW_WNL_OR_HIGH	2012	2925
BW_WNL_OR_HIGH	2013	3141
BW_WNL_OR_HIGH	2014	3335
BW_WNL_OR_HIGH	2015	3542
BW_WNL_OR_HIGH	2016	3632
BW_WNL_OR_HIGH	2017	3521
BW_WNL_OR_HIGH	2018	3741
BW_WNL_OR_HIGH	2019	3744
BW_WNL_OR_HIGH	2020	3412
ELBW	2012	14
ELBW	2013	5
ELBW	2014	13
ELBW	2015	18
ELBW	2016	17
ELBW	2017	14
ELBW	2018	18
ELBW	2019	14
ELBW	2020	5
LBW	2012	149
LBW	2013	149
LBW	2014	189
LBW	2015	190
LBW	2016	192
LBW	2017	197
LBW	2018	160
LBW	2019	164
LBW	2020	175
Not recorded	2012	4
Not recorded	2013	2
Not recorded	2014	5
Not recorded	2015	3
Not recorded	2016	3
Not recorded	2017	2
Not recorded	2018	4
Not recorded	2019	2
Not recorded	2020	3
VLBW	2012	20
VLBW	2013	15
VLBW	2014	15
VLBW	2015	17
VLBW	2016	20
VLBW	2017	17
VLBW	2018	14
VLBW	2019	10
VLBW	2020	8
