YEAR_2020	BIRTH_MONTH	BW_category	births_pct
2012-2019	3	BW_WNL_OR_HIGH	0.9410333642261353
2012-2019	3	ELBW	0.006493506493506494
2012-2019	3	LBW	0.04909638554216868
2012-2019	3	VLBW	0.0066653358175849525
2012-2019	4	BW_WNL_OR_HIGH	0.9515133705553922
2012-2019	4	ELBW	0.004878048780487805
2012-2019	4	LBW	0.03907545605306799
2012-2019	4	VLBW	0.004032651072124756
2012-2019	5	BW_WNL_OR_HIGH	0.9389509251356136
2012-2019	5	ELBW	0.0034823192607138457
2012-2019	5	LBW	0.05200655680121769
2012-2019	5	VLBW	0.004451038575667656
2012-2019	6	BW_WNL_OR_HIGH	0.9501434086398608
2012-2019	6	ELBW	0.003370244179443498
2012-2019	6	LBW	0.04614903623956719
2012-2019	6	VLBW	0.003860774530767403
2012-2019	7	BW_WNL_OR_HIGH	0.9392900363049617
2012-2019	7	ELBW	0.0030304143402879813
2012-2019	7	LBW	0.05446864775222984
2012-2019	7	VLBW	0.003316749585406302
2012-2019	8	BW_WNL_OR_HIGH	0.9448293224988714
2012-2019	8	ELBW	0.003736093305960716
2012-2019	8	LBW	0.04441739455739898
2012-2019	8	VLBW	0.005576514305419023
2012-2019	9	BW_WNL_OR_HIGH	0.9442811115585985
2012-2019	9	ELBW	0.0038461538461538464
2012-2019	9	LBW	0.0495579133510168
2012-2019	9	VLBW	0.0026351604705098118
2020	3	BW_WNL_OR_HIGH	0.9470404984423676
2020	3	LBW	0.04984423676012461
2020	3	VLBW	0.003115264797507788
2020	4	BW_WNL_OR_HIGH	0.9339449541284404
2020	4	ELBW	0.003669724770642202
2020	4	LBW	0.05871559633027523
2020	4	VLBW	0.003669724770642202
2020	5	BW_WNL_OR_HIGH	0.9381625441696113
2020	5	LBW	0.05653710247349823
2020	5	VLBW	0.00530035335689046
2020	6	BW_WNL_OR_HIGH	0.956442831215971
2020	6	ELBW	0.0054446460980036296
2020	6	LBW	0.036297640653357534
2020	6	VLBW	0.0018148820326678765
2020	7	BW_WNL_OR_HIGH	0.9540412044374009
2020	7	LBW	0.044374009508716325
2020	7	VLBW	0.001584786053882726
2020	8	BW_WNL_OR_HIGH	0.9466019417475728
2020	8	LBW	0.05339805825242718
2020	9	BW_WNL_OR_HIGH	0.9619565217391305
2020	9	LBW	0.03804347826086957
2020	3	ELBW	0.0
2020	5	ELBW	0.0
2020	7	ELBW	0.0
2020	8	ELBW	0.0
2020	8	VLBW	0.0
2020	9	ELBW	0.0
2020	9	VLBW	0.0
