YEAR_2020	BIRTH_MONTH	GA_category	births_pct
2012-2019	3	Extremely premature	0.005271705342756004
2012-2019	3	Late term	0.003619299439761244
2012-2019	3	Moderate/late premature	0.06805438588715039
2012-2019	3	Term	0.9220391383360667
2012-2019	3	Very premature	0.00823045267489712
2012-2019	4	Extremely premature	0.004640371229698376
2012-2019	4	Late term	0.002320185614849188
2012-2019	4	Moderate/late premature	0.06339348391625718
2012-2019	4	Term	0.9237550862236001
2012-2019	4	Very premature	0.006070951997403316
2012-2019	5	Extremely premature	0.0046459986202138665
2012-2019	5	Late term	0.003067484662576687
2012-2019	5	Moderate/late premature	0.056999306999307
2012-2019	5	Term	0.93188310261481
2012-2019	5	Very premature	0.004469547152473982
2012-2019	6	Extremely premature	0.003970465310671497
2012-2019	6	Late term	0.002955933682373473
2012-2019	6	Moderate/late premature	0.0643721198156682
2012-2019	6	Term	0.9256787028964448
2012-2019	6	Very premature	0.003747226844148641
2012-2019	7	Extremely premature	0.003418803418803419
2012-2019	7	Late term	0.0026172557351974027
2012-2019	7	Moderate/late premature	0.058609883222273534
2012-2019	7	Term	0.9300402035765223
2012-2019	7	Very premature	0.004233551645905569
2012-2019	8	Extremely premature	0.004539419467081769
2012-2019	8	Late term	0.0019083969465648854
2012-2019	8	Moderate/late premature	0.05692963752665245
2012-2019	8	Term	0.9320267799005278
2012-2019	8	Very premature	0.006619300687159371
2012-2019	9	Extremely premature	0.004154606653874923
2012-2019	9	Late term	0.006309148264984227
2012-2019	9	Moderate/late premature	0.06415752678639276
2012-2019	9	Term	0.9282909901466603
2012-2019	9	Very premature	0.00516795865633075
2020	3	Moderate/late premature	0.06918238993710692
2020	3	Term	0.9276729559748428
2020	3	Very premature	0.0031446540880503146
2020	4	Extremely premature	0.007366482504604052
2020	4	Moderate/late premature	0.06998158379373849
2020	4	Term	0.9171270718232044
2020	4	Very premature	0.0055248618784530384
2020	5	Late term	0.0017985611510791368
2020	5	Moderate/late premature	0.05755395683453238
2020	5	Term	0.9316546762589928
2020	5	Very premature	0.008992805755395683
2020	6	Extremely premature	0.0018315018315018315
2020	6	Moderate/late premature	0.056776556776556776
2020	6	Term	0.9358974358974359
2020	6	Very premature	0.005494505494505495
2020	7	Late term	0.001589825119236884
2020	7	Moderate/late premature	0.04292527821939587
2020	7	Term	0.9523052464228935
2020	7	Very premature	0.003179650238473768
2020	8	Moderate/late premature	0.053833605220228384
2020	8	Term	0.9461663947797716
2020	9	Late term	0.002717391304347826
2020	9	Moderate/late premature	0.04891304347826087
2020	9	Term	0.9483695652173914
2020	3	Extremely premature	0.0
2020	3	Late term	0.0
2020	4	Late term	0.0
2020	5	Extremely premature	0.0
2020	6	Late term	0.0
2020	7	Extremely premature	0.0
2020	8	Extremely premature	0.0
2020	8	Late term	0.0
2020	8	Very premature	0.0
2020	9	Extremely premature	0.0
2020	9	Very premature	0.0
